name,type,value,date
北京,北京,2678.82,1999
北京,北京,3161.66,2000
北京,北京,3707.96,2001
北京,北京,4315,2002
北京,北京,5007.21,2003
北京,北京,6033.21,2004
北京,北京,6969.52,2005
北京,北京,8117.78,2006
北京,北京,9846.81,2007
北京,北京,11115,2008
北京,北京,12153.03,2009
北京,北京,14113.58,2010
北京,北京,16251.93,2011
北京,北京,17879.4,2012
北京,北京,19800.81,2013
北京,北京,21330.83,2014
北京,北京,23014.59,2015
北京,北京,25669.13,2016
北京,北京,28014.94,2017
北京,北京,30319.98,2018
天津,天津,1500.95,1999
天津,天津,1701.88,2000
天津,天津,1919.09,2001
天津,天津,2150.76,2002
天津,天津,2578.03,2003
天津,天津,3110.97,2004
天津,天津,3905.64,2005
天津,天津,4462.74,2006
天津,天津,5252.76,2007
天津,天津,6719.01,2008
天津,天津,7521.85,2009
天津,天津,9224.46,2010
天津,天津,11307.28,2011
天津,天津,12893.88,2012
天津,天津,14442.01,2013
天津,天津,15726.93,2014
天津,天津,16538.19,2015
天津,天津,17885.39,2016
天津,天津,18549.19,2017
天津,天津,18809.64,2018
石家庄,石家庄,,1999
石家庄,石家庄,,2000
石家庄,石家庄,1085.43,2001
石家庄,石家庄,1186.81,2002
石家庄,石家庄,1377.94,2003
石家庄,石家庄,1554.9,2004
石家庄,石家庄,1786.78,2005
石家庄,石家庄,2026.63,2006
石家庄,石家庄,2360.72,2007
石家庄,石家庄,2838.37,2008
石家庄,石家庄,3001,2009
石家庄,石家庄,3401,2010
石家庄,石家庄,4082.68,2011
石家庄,石家庄,4500.2,2012
石家庄,石家庄,4863.66,2013
石家庄,石家庄,5170.27,2014
石家庄,石家庄,5440.6,2015
石家庄,石家庄,5927.73,2016
石家庄,石家庄,6460.88,2017
石家庄,石家庄,6082.62,2018
太原,太原,,1999
太原,太原,,2000
太原,太原,386.34,2001
太原,太原,432.89,2002
太原,太原,515.71,2003
太原,太原,640.5,2004
太原,太原,893.16,2005
太原,太原,1013.65,2006
太原,太原,1254.94,2007
太原,太原,1468.09,2008
太原,太原,1545,2009
太原,太原,1778.1,2010
太原,太原,2080.12,2011
太原,太原,2311.4,2012
太原,太原,2412.87,2013
太原,太原,2531.09,2014
太原,太原,2735.34,2015
太原,太原,2955.6,2016
太原,太原,3382.18,2017
太原,太原,3884.48,2018
呼和浩特,呼和浩特,,1999
呼和浩特,呼和浩特,,2000
呼和浩特,呼和浩特,211.12,2001
呼和浩特,呼和浩特,316.7,2002
呼和浩特,呼和浩特,406.2,2003
呼和浩特,呼和浩特,512.1,2004
呼和浩特,呼和浩特,743.66,2005
呼和浩特,呼和浩特,900.08,2006
呼和浩特,呼和浩特,1101.13,2007
呼和浩特,呼和浩特,1316.37,2008
呼和浩特,呼和浩特,1644,2009
呼和浩特,呼和浩特,1865.7,2010
呼和浩特,呼和浩特,2177.27,2011
呼和浩特,呼和浩特,2475.6,2012
呼和浩特,呼和浩特,2710.39,2013
呼和浩特,呼和浩特,2894.05,2014
呼和浩特,呼和浩特,3090.52,2015
呼和浩特,呼和浩特,3173.59,2016
呼和浩特,呼和浩特,2743.72,2017
呼和浩特,呼和浩特,2903.5,2018
沈阳,沈阳,,1999
沈阳,沈阳,,2000
沈阳,沈阳,1236.47,2001
沈阳,沈阳,1400.02,2002
沈阳,沈阳,1603.38,2003
沈阳,沈阳,1900.69,2004
沈阳,沈阳,2084.13,2005
沈阳,沈阳,2519.63,2006
沈阳,沈阳,3221.15,2007
沈阳,沈阳,3860.47,2008
沈阳,沈阳,4269,2009
沈阳,沈阳,5017.5,2010
沈阳,沈阳,5915.71,2011
沈阳,沈阳,6602.6,2012
沈阳,沈阳,7158.57,2013
沈阳,沈阳,7098.71,2014
沈阳,沈阳,7272.31,2015
沈阳,沈阳,5460.01,2016
沈阳,沈阳,5864.97,2017
沈阳,沈阳,6292.4,2018
大连,大连,,1999
大连,大连,,2000
大连,大连,1235.64,2001
大连,大连,1406.1,2002
大连,大连,1632.59,2003
大连,大连,1961.76,2004
大连,大连,2152.23,2005
大连,大连,2569.67,2006
大连,大连,3130.68,2007
大连,大连,3858.25,2008
大连,大连,4350,2009
大连,大连,5158.2,2010
大连,大连,6150.63,2011
大连,大连,7002.8,2012
大连,大连,7650.79,2013
大连,大连,7655.58,2014
大连,大连,7731.64,2015
大连,大连,6730.33,2016
大连,大连,7363.92,2017
大连,大连,7668.48,2018
长春,长春,,1999
长春,长春,,2000
长春,长春,1003.01,2001
长春,长春,1150.18,2002
长春,长春,1338.04,2003
长春,长春,1535.01,2004
长春,长春,1678.47,2005
长春,长春,1741.19,2006
长春,长春,2089.09,2007
长春,长春,2561.9,2008
长春,长春,2849,2009
长春,长春,3329,2010
长春,长春,4003.08,2011
长春,长春,4456.6,2012
长春,长春,5003.18,2013
长春,长春,5342.43,2014
长春,长春,5530.03,2015
长春,长春,5917.94,2016
长春,长春,6530.03,2017
长春,长春,7175.71,2018
哈尔滨,哈尔滨,,1999
哈尔滨,哈尔滨,,2000
哈尔滨,哈尔滨,1120.12,2001
哈尔滨,哈尔滨,1232.13,2002
哈尔滨,哈尔滨,1414.8,2003
哈尔滨,哈尔滨,1680.46,2004
哈尔滨,哈尔滨,1830.45,2005
哈尔滨,哈尔滨,2094.08,2006
哈尔滨,哈尔滨,2436.8,2007
哈尔滨,哈尔滨,2868.19,2008
哈尔滨,哈尔滨,3175,2009
哈尔滨,哈尔滨,3664.9,2010
哈尔滨,哈尔滨,4242.19,2011
哈尔滨,哈尔滨,4550.2,2012
哈尔滨,哈尔滨,5017.05,2013
哈尔滨,哈尔滨,5340.07,2014
哈尔滨,哈尔滨,5751.21,2015
哈尔滨,哈尔滨,6101.61,2016
哈尔滨,哈尔滨,6355.05,2017
哈尔滨,哈尔滨,6300.48,2018
上海,上海,4188.73,1999
上海,上海,4771.17,2000
上海,上海,5210.12,2001
上海,上海,5741.03,2002
上海,上海,6694.23,2003
上海,上海,8072.83,2004
上海,上海,9247.66,2005
上海,上海,10572.24,2006
上海,上海,12494.01,2007
上海,上海,14069.86,2008
上海,上海,15046.45,2009
上海,上海,17165.98,2010
上海,上海,19195.69,2011
上海,上海,20181.72,2012
上海,上海,21818.15,2013
上海,上海,23567.7,2014
上海,上海,25123.45,2015
上海,上海,28178.65,2016
上海,上海,30632.99,2017
上海,上海,32679.87,2018
南京,南京,,1999
南京,南京,,2000
南京,南京,1150.3,2001
南京,南京,1297.57,2002
南京,南京,1576.33,2003
南京,南京,1910,2004
南京,南京,2411.11,2005
南京,南京,2773.78,2006
南京,南京,3283.73,2007
南京,南京,3775,2008
南京,南京,4230,2009
南京,南京,5130.7,2010
南京,南京,6145.52,2011
南京,南京,7201.6,2012
南京,南京,8011.78,2013
南京,南京,8820.75,2014
南京,南京,9720.77,2015
南京,南京,10503.02,2016
南京,南京,11715.1,2017
南京,南京,12820.4,2018
杭州,杭州,,1999
杭州,杭州,,2000
杭州,杭州,1568.01,2001
杭州,杭州,1781.83,2002
杭州,杭州,2099.77,2003
杭州,杭州,2515,2004
杭州,杭州,2942.65,2005
杭州,杭州,3441.51,2006
杭州,杭州,4100.17,2007
杭州,杭州,4781.16,2008
杭州,杭州,5088,2009
杭州,杭州,5949.2,2010
杭州,杭州,7019.06,2011
杭州,杭州,7802,2012
杭州,杭州,8343.52,2013
杭州,杭州,9206.16,2014
杭州,杭州,10050.21,2015
杭州,杭州,11313.72,2016
杭州,杭州,12603.36,2017
杭州,杭州,13509.15,2018
宁波,宁波,,1999
宁波,宁波,,2000
宁波,宁波,1312.69,2001
宁波,宁波,1500.34,2002
宁波,宁波,1786.85,2003
宁波,宁波,2158.04,2004
宁波,宁波,2449.31,2005
宁波,宁波,2874.44,2006
宁波,宁波,3435,2007
宁波,宁波,3964.05,2008
宁波,宁波,4329,2009
宁波,宁波,5163,2010
宁波,宁波,6059.24,2011
宁波,宁波,6582.2,2012
宁波,宁波,7128.87,2013
宁波,宁波,7610.28,2014
宁波,宁波,8003.61,2015
宁波,宁波,8686.49,2016
宁波,宁波,9842.1,2017
宁波,宁波,10745.46,2018
合肥,合肥,,1999
合肥,合肥,,2000
合肥,合肥,363.44,2001
合肥,合肥,412.81,2002
合肥,合肥,484.96,2003
合肥,合肥,589.7,2004
合肥,合肥,853.57,2005
合肥,合肥,1073.76,2006
合肥,合肥,1334.61,2007
合肥,合肥,1664.84,2008
合肥,合肥,2102,2009
合肥,合肥,2701.6,2010
合肥,合肥,3636.6,2011
合肥,合肥,4164.3,2012
合肥,合肥,4672.91,2013
合肥,合肥,5157.97,2014
合肥,合肥,5660.27,2015
合肥,合肥,6274.38,2016
合肥,合肥,7213.45,2017
合肥,合肥,7822.91,2018
福州,福州,,1999
福州,福州,,2000
福州,福州,1074.23,2001
福州,福州,1160.53,2002
福州,福州,1347.68,2003
福州,福州,1548.46,2004
福州,福州,1476.31,2005
福州,福州,1664.05,2006
福州,福州,1974.58,2007
福州,福州,2284.16,2008
